sector no,azimuth
0,26.6
1,19
2,11.4
3,3.8
4,-3.8
5,-11.4
6,-19
7,-26.6
8,26.6
9,19
10,11.4
11,3.8
12,-3.8
13,-11.4
14,-19
15,-26.6
16,26.6
17,19
18,11.4
19,3.8
20,-3.8
21,-11.4
22,-19
23,-26.6
24,26.6
25,19
26,11.4
27,3.8
28,-3.8
29,-11.4
30,-19
31,-26.6
32,26.6
33,19
34,11.4
35,3.8
36,-3.8
37,-11.4
38,-19
39,-26.6
40,26.6
41,19
42,11.4
43,3.8
44,-3.8
45,-11.4
46,-19
47,-26.6
48,26.6
49,19
50,11.4
51,3.8
52,-3.8
53,-11.4
54,-19
55,-26.6
56,26.6
57,19
58,11.4
59,3.8
60,-3.8
61,-11.4
62,-19
63,-26.6
